,2017 City Planning Commission Expenditures Actual,2018 City Planning Commission Expenditures Actual,2019 City Planning Commission Expenditures Unaudited,2020 City Planning Commission Expenditures Budget
,,,,
Salaries and Wages,,,,
Full Time Permanent,"$984,834","$1,067,326","$1,107,226","$1,396,240"
Seasonal,—,—,—,"10,000"
Board Members,"20,880","30,906","28,640","48,466"
Part-Time Permanent,"29,697",946,"6,525",—
Longevity,"6,775","6,725","5,425","5,550"
Vacation Conversion,"19,962",—,"13,209",—
Separation Payments,"36,041","66,619","3,509","68,000"
Bonus Incentive,"1,000","8,000",—,—
Overtime,—,51,—,—
Salary Total,"$1,099,188","$1,180,573","$1,164,534","$1,528,256"
,,,,
Benefits,,,,
Hospitalization,"$157,184","$150,529","$161,652","$214,189"
Prescription,"27,550","22,696","28,014","43,728"
Dental,"6,993","6,799","6,720","11,016"
Vision Care,"1,034","1,059","1,061","1,593"
Public Employees Retire System,"146,125","154,363","159,517","204,439"
Fica-Medicare,"13,200","14,566","15,836","21,349"
Workers' Compensation,"25,387","11,335","11,494","12,201"
Life Insurance,570,562,590,"1,199"
Benefits Total,"$378,043","$361,909","$384,883","$509,714"
,,,,
,,,,
Other Training & Professional Dues,,,,
Travel,"$5,169","$5,609","$2,003","$5,000"
Tuition & Registration Fees,"3,695","3,844","2,148","5,000"
Training & Professional Dues Total,"$8,864","$9,453","$4,151","$10,000"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Contractual Services,,,,
Professional Services,$ —,$ —,$ —,"$120,000"
Advertising And Public Notice,—,—,—,"15,000"
Program Promotion,—,—,"5,748","23,500"
Participation Fee,—,—,"1,410",—
Parking In City Facilities,"2,027","2,191","2,540","7,500"
Other Contractual,"45,000","238,120","74,910","100,500"
Contractual Services Total,"$47,027","$240,311","$84,608","$266,500"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Materials & Supplies,,,,
Office Supplies,$462,"$1,236","$2,007","$2,500"
Computer Hardware,294,"1,585",—,"1,500"
Computer Software,"3,770","4,189","4,762","13,000"
Just In Time Office Supplies,"2,040","4,445","5,046","6,400"
,"$6,566","$11,455","$11,815","$23,400"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Interdepart Service Charges,,,,
Charges From Telephone Exch,"$6,453","$6,653","$5,649","$6,124"
Charges From Print & Repro,"8,779","8,965","14,354","20,465"
Charges From Central Storeroom,"1,694","1,670","1,226","2,214"
Charges From M.V.M.,"5,090","2,928","3,482","6,240"
,"$22,015","$20,216","$24,711","$35,043"
,"$1,561,704","$1,823,917","$1,674,702","$2,372,913"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
City Planning Commission,2017 Actual,2018 Actual,2019 Unaudited,2020 Budget
Revenues,,,,
Miscellaneous,$54,"$16,169","$16,272",$ —
,$54,"$16,169","$16,272",$ —