,2017 Department of Economic Development Actual,2018 Department of Economic Development Actual,2019 Department of Economic Development Unaudited,2020 Department of Economic Development Budget
,,,,
Salaries and Wages,,,,
Full Time Permanent,"$1,079,745.00","$1,131,230.00","$1,239,887.00","$1,514,645.00"
Longevity,"$3,275.00","$3,400.00","$3,875.00","$4,000.00"
Vacation Conversion,"$8,090.00",—,"$4,281.00",—
Separation Payments,"$50,995.00",$889.00,"$2,572.00",—
Bonus Incentive,—,"$7,500.00",—,—
Salary Total,"$1,142,105.00","$1,143,019.00","$1,250,615.00","$1,518,645.00"
,,,,
,,,,
,,,,
,,,,
,,,,
Benefits,,,,
Hospitalization,"$172,669.00","$159,715.00","$186,563.00","$236,962.00"
Prescription,"$31,013.00","$23,702.00","$31,444.00","$47,313.00"
Dental,"$8,429.00","$7,820.00","$8,538.00","$12,753.00"
Vision Care,$962.00,$894.00,$977.00,"$1,444.00"
Public Employees Retire System,"$153,598.00","$156,458.00","$174,459.00","$212,880.00"
Fica-Medicare,"$13,891.00","$16,167.00","$17,555.00","$18,803.00"
Workers' Compensation,"$27,962.00","$10,612.00","$12,295.00","$14,010.00"
Life Insurance,$572.00,$492.00,$604.00,"$1,146.00"
Unemployment Compensation,"$10,604.00",—,—,—
Benefits Total,"$419,702.00","$375,859.00","$432,434.00","$545,311.00"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Interdepart Service Charges,,,,
Charges From Print & Repro,"$11,429.00","$10,335.00","$10,569.00","$15,065.00"
Charges From Central Storeroom,"$2,024.00","$2,166.00","$2,549.00","$3,130.00"
Charges From M.V.M.,$607.00,$894.00,"$1,192.00","$1,072.00"
,"$14,060.00","$13,395.00","$14,310.00","$19,267.00"
,"$1,575,867.00","$1,532,272.00","$1,697,359.00","$2,083,223.00"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Revenues,,,,
Licenses & Permits,"$102,961.00","$104,135.00","$106,113.00","$108,235.00"
Miscellaneous,—,"$17,731.00","$18,908.00",—
,"$102,961.00","$121,866.00","$125,021.00","$108,235.00"