,2017 Division of Assessments and Licenses Actual,2018 Division of Assessments and Licenses Actual,2019 Division of Assessments and Licenses Unaudited,2020 Division of Assessments and Licenses Budget
,,,,
Salaries and Wages,,,,
Full Time Permanent,"$1,447,686","$1,706,788","$1,943,401","$2,616,900"
Longevity,"6,900","7,575","7,800","8,875"
Vacation Conversion,"7,837",—,"6,522",—
Separation Payments,—,"5,367","5,710","5,800"
Bonus Incentive,"7,000","9,000",—,—
Overtime,"137,617","111,646","148,100","55,000"
Salary Total,"$1,607,040","$1,840,376","$2,111,533","$2,686,575"
,,,,
,,,,
,,,,
,,,,
Benefits,,,,
Hospitalization,"$345,903","$372,542","$444,268","$579,649"
Prescription,"66,140","54,300","74,039","107,052"
Dental,"17,157","18,296","18,910","33,331"
Vision Care,"2,035","2,131","2,221","3,636"
Public Employees Retire System,"220,210","253,326","288,487","434,219"
Police & Firemens Disab & Pens,—,—,233,—
Fica-Medicare,"22,340","25,581","29,344","117,805"
Workers' Compensation,"34,584","16,738","20,398","21,888"
Life Insurance,"1,000","1,161","1,281","2,739"
Unemployment Compensation,968,"2,730",—,—
Benefits Total,"$710,337","$746,805","$879,181","$1,300,319"
Other Training & Professional Dues,,,,
Travel,"$8,456","$7,259","$7,077","$7,590"
Tuition & Registration Fees,"8,000","7,337","6,770","8,360"
Training,—,219,—,"4,550"
Other Training Supplies,199,129,—,—
Professional Dues & Subscript,"1,403","3,554","1,783","3,500"
Training & Professional Dues Total,"$18,058","$18,498","$15,630","$24,000"
,,,,
,,,,
,,,,
Contractual Services,,,,
Professional Services,"$597,567","$475,863","$358,627","$898,600"
Court Reporter,265,451,24,"2,000"
Mileage (Private Auto),150,23,—,750
Expense Account Reimbursement,—,75,—,200
Advertising And Public Notice,"15,017","11,934","79,097","108,000"
Parking In City Facilities,—,—,—,200
Insurance And Official Bonds,—,250,—,250
Other Contractual,560,—,—,—
Credit Card Processing Fees,"167,369","175,621","141,171","175,000"
Contractual Services Total,"$780,928","$664,217","$578,919","$1,185,000"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Materials & Supplies,,,,
Office Supplies,$200,$ —,$ —,$ —
Postage,481,323,389,500
Computer Supplies,—,—,—,"4,250"
Computer Hardware,—,—,"29,616","4,250"
Computer Software,"27,059","6,408","1,365","3,950"
Small Equipment,"1,309","4,051","8,928","16,703"
Other Supplies,"1,200","1,710",329,"2,500"
Safety Equipment,"5,062","15,443","7,327","7,390"
Just In Time Office Supplies,"5,609","8,378","4,278","12,250"
,"$40,920",36313,52232,51793
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Maintenance,,,,
Maintenance Contracts,$ —,"$3,763","$ — $ 5,400",
Computer Software Maintenance,"2,708","38,404","— 182,275",
,2708,"$42,167",0,0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Interdepart Service Charges,,,,
Charges From Telephone Exch,"$17,722","$18,593","$26,433","$23,437"
Charges From Print & Repro,"40,509","61,832","47,545","67,773"
Charges From Central Storeroom,"61,159","74,673","57,797","70,973"
Charges From M.V.M.,"24,462","24,850","35,233","24,187"
,"$143,852","$179,948","$167,008","$186,370"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Division of Assessments and Licenses,2017 Actual,2018 Actual,2019 Unaudited,2020 Budget
Revenues,,,,
Charges For Services,"$134,667","$138,653","$163,213","$165,000"
"Fines, Forfeitures & Settlements",—,—,25,—
Licenses & Permits,"346,311","313,895","334,441","300,085"
Miscellaneous,"10,955","76,053","33,418",—
Other Tax,"43,789,967","45,240,874","44,823,234","40,829,999"
,"$44,281,900","$45,769,475","$45,354,331","$41,295,084"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Capital Outlay,,,,
Transfer To Capital Project,"$170,000",$ —,$ —,$ —
,"$170,000",$ —,$ —,$ —