,2017 Division of Treasury Actual,2018 Division of Treasury Actual,2019 Division of Treasury Unaudited,2020 Division of Treasury Budget
,,,,
Salaries and Wages,,,,
Full Time Permanent,"463,151","508,539","465,462","563,055"
Longevity,"3,650","3,925","4,225","3,600"
Vacation Conversion,—,—,"2,543",—
Separation Payments,—,—,"6,024","10,123"
Bonus Incentive,"1,000","2,500",—,—
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Benefits,,,,
Hospitalization,"73,954","81,547","75,489","96,148"
Prescription,"12,852","11,921","12,593","19,240"
Dental,"3,911","4,089","3,607","5,302"
Vision Care,439,454,401,579
Public Employees Retire System,"65,186","71,555","66,338","80,297"
Fica-Medicare,"6,582","7,245","6,724","8,373"
Workers' Compensation,"10,673","4,864","4,776","5,054"
Life Insurance,233,236,216,414
,,,,
,,,,
,,,,
Other Training & Professional Dues,,,,
Travel,—,—,230,—
Tuition & Registration Fees,470,250,200,"1,500"
Mileage (Priv Auto) Trng Prps,137,58,146,500
Professional Dues & Subscript,459,559,"1,044","1,000"
,,,,
,,,,
,,,,
,,,,
,,,,
Contractual Services,,,,
Professional Services,—,86,—,—
Parking In City Facilities,—,—,—,350
Insurance And Official Bonds,—,—,"11,060",—
Other Contractual,"38,443","43,701","40,973","51,000"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Materials & Supplies,,,,
Office Supplies,—,358,716,"1,000"
Postage,158,—,—,200
Office Furniture & Equipment,"2,800",369,"3,549","7,000"
Other Supplies,"2,548","3,036","3,523","4,000"
Just In Time Office Supplies,649,"1,464",413,"1,000"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Maintenance,,,,
Maintenance Office Equipment,"3,604","2,278","1,495","4,700"
Maintenance Contracts,850,868,"1,030","1,500"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Division of Treasury,2017 Actual,2018 Actual,2019 Unaudited,2020 Budget
Revenues,,,,
Miscellaneous,$ —,"$6,411","$6,726",$ —
Interest Earnings/Investment Income,"1,657,928","3,974,382","5,468,174","4,300,000"