,2017 Division of Construction Permitting Actual,2018 Division of Construction Permitting Actual,2019 Division of Construction Permitting Unaudited,2020 Division of Construction Permitting Budget
,,,,
Salaries and Wages,,,,
Full Time Permanent,"$1,033,291","$1,047,843","$993,393","$1,242,512"
Longevity,"7,525","7,825","7,425","7,250"
Vacation Conversion,—,—,"1,218",—
Separation Payments,"1,828","25,332","6,535","10,000"
Bonus Incentive,"5,000","4,000",—,—
Overtime,"3,475","5,862","40,658","5,862"
Salary Total,"$1,051,119","$1,090,862","$1,049,229","$1,265,624"
,,,,
,,,,
,,,,
,,,,
Benefits,,,,
Hospitalization,"$187,661","$181,453","$179,788","$228,530"
Prescription,"31,511","27,191","30,235","46,479"
Dental,"8,863","9,239","8,250","12,233"
Vision Care,"1,251","1,212","1,194","1,638"
Public Employees Retire System,"145,431","148,922","146,090","177,711"
Fica-Medicare,"14,236","14,727","14,179","16,583"
Workers' Compensation,"23,789","10,298","10,427","11,067"
Life Insurance,629,607,596,"1,112"
Unemployment Compensation,—,—,—,"10,833"
Benefits Total,"$413,372","$393,648","$390,757","$506,186"
,,,,
Other Training & Professional Dues,,,,
Travel,$133,$350,$—,$—
Tuition & Registration Fees,940,750,710,500
Other Training Supplies,—,—,—,"1,200"
Mileage (Priv Auto) Trng Prps,143,302,—,500
Professional Dues & Subscript,—,—,—,"1,000"
Training & Professional Dues Total,"$1,216","$1,402",$710,"$3,200"
,,,,
,,,,
,,,,
Contractual Services,,,,
Professional Services,"$10,000","$10,000","$10,000","$10,300"
Freight Expense,—,—,—,100
Other Contractual,"9,847","9,800","7,884","8,343"
Contractual Services Total,"$19,847","$19,800","$17,884","$18,743"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Materials & Supplies,,,,
Office Supplies,$—,$146,$142,$400
Computer Supplies,—,—,—,300
Office Furniture & Equipment,—,—,"3,729",—
Other Supplies,45,—,—,—
Just In Time Office Supplies,"4,148","1,889","3,178","3,000"
,"$4,193","$2,035","$7,049","$3,700"
,"$1,489,747","$1,507,748","$1,465,629","$1,797,453"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Revenues,,,,
Licenses & Permits,$310,—,—,—
Miscellaneous,—,"14,142",14837,—
,$310,"$14,142",14837,—