,2017 Finance Admin Actual,2018 Finance Admin Actual,2019 Finance Admin Unaudited,2020 Finance Admin Budget
,,,,
Salaries and Wages,,,,
Full Time Permanent,"494,577","538,529","543,466","755,433"
Seasonal,"59,640","69,204","61,687","96,512"
Part-Time Permanent,"1,701","28,500","114,253","54,602"
Longevity,"1,925","2,400","2,400","2,825"
Vacation Conversion,—,—,"3,264",—
Separation Payments,5589,—,—,—
Bonus Incentive,—,4500,—,—
Overtime,—,206,—,—
Salary Total,"563,432","643,339","725,070","909,372"
,,,,
,,,,
Benefits,,,,
Hospitalization,"52,325","42,996","46,569","86,164"
Prescription,"8,908","6,407","7,888","17,257"
Dental,"2,424","2,000","1,946","4,579"
Vision Care,359,350,348,624
Public Employees Retire System,"77,550","87,929","100,657","129,575"
Fica-Medicare,"7,939","9,109","10,269","13,230"
Workers' Compensation,"12,912","5,988","7,083","7,626"
Life Insurance,224,236,236,515
Benefits Total,"162,641","155,015","174,996","259,570"
,,,,
,,,,
Other Training and Professional Dues,,,,
Travel,"$2,571",$856,"$4,013","$17,000"
Tuition & Registration Fees,"1,739","3,130","1,835","2,600"
Training,—,189,665,—
Mileage (Priv Auto) Trng Prps,—,78,881,200
Professional Dues & Subscript,"6,358","25,876","6,354","6,700"
Training & Professional Dues Total,"$10,668","$30,129","$13,748","$26,500"
,,,,
,,,,
,,,,
Contractual Services,,,,
Professional Services,"$7,330","$90,390","$112,038","$72,000"
Mileage (Private Auto),—,—,14,—
Advertising And Public Notice,—,—,—,"2,000"
Parking In City Facilities,679,731,728,"3,000"
Insurance And Official Bonds,—,283,—,—
Other Contractual,"300,000","302,500","3,396,152","247,500"
Contractual Services Total,"$308,009","$393,904","$3,508,932","$324,500"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Materials & Supplies,,,,
Office Supplies,—,235,—,200
Postage,"1,280",961,"1,929","1,200"
Computer Software,—,—,—,300
Food,377,267,—,200
Other Supplies,—,—,230,250
Just In Time Office Supplies,"1,136","1,650","2,104","2,000"
,2793,3113,4263,4150
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Interdepart Service Charges,,,,
Charges From Telephone Exch,"$8,704","$9,852","$8,695","$7,710"
Charges From Print & Repro,"3,956","6,298","18,040","25,716"
Charges From Central Storeroom,105,115,297,365
Charges From M.V.M.,54,100,"1,404",437
,"$12,819","$16,365","$28,436","$34,228"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Finance Admin,2017 Actual,2018 Actual,2019 Unaudited,2020 Budget
Revenues,,,,
Miscellaneous,91,7672,8263,-
,91,7672,8263,-