CCA Income Tax Administration,2017 Budget,2018 Budget,2019 Unaudited,2020 Budget
Salaries and Wages,,,,
Full Time Permanent,"$4,077,291","$4,700,170","$4,665,372","$5,323,697"
Part-Time Permanent,"267,080","185,440","152,114","441,892"
Longevity,"34,775","36,700","37,725","39,500"
Vacation Conversion,"25,464",—,"18,318",—
Separation Payments,"15,149","18,112","9,208","20,000"
Bonus Incentive,"20,000","24,000",—,—
Overtime,"215,983","259,412","198,947","250,000"
,"$4,655,742","$5,223,834","$5,081,684","$6,075,089"
Benefits,,,,
Hospitalization,"$737,696","$755,057","$800,389","$1,069,330"
Prescription,"130,794","114,600","137,158","218,427"
Dental,"35,606","38,951","38,373","60,393"
Vision Care,"4,987","5,598","5,633","7,870"
Public Employees Retire System,"639,144","717,430","711,761","823,015"
Fica-Medicare,"63,580","71,635","70,071","82,507"
Workers' Compensation,"106,585","60,550","69,125","64,318"
Life Insurance,"2,703","2,942","3,007","5,703"
Unemployment Compensation,"2,423","2,423",—,—
,"$1,723,518","$1,769,185","$1,835,517","$2,331,563"
Other Training & Professional Dues,,,,
Travel,"$6,600","$6,369","$6,900","$8,000"
Tuition & Registration Fees,"1,585","1,591","1,078","2,500"
Professional Dues & Subscript,"14,840","25,859","11,740","38,000"
,"$23,024","$33,819","$19,718","$48,500"
Utilities,,,,
Electricity - Cpp,"$32,307","$33,603","$26,906","$36,340"
Steam,"150,550","154,651","149,835","164,070"
,"$182,857","$188,253","$176,741","$200,410"
Contractual Services,,,,
Professional Services,"$1,211,137","$1,192,365","$788,205","$1,103,000"
Mileage (Private Auto),"11,298","10,520","10,588","17,000"
Freight Expense,625,—,—,—
Advertising And Public Notice,"2,447","3,174","3,046","5,000"
Parking In City Facilities,"1,320","1,320","1,430","3,200"
Insurance And Official Bonds,—,—,580,800
Property Rental,"34,177","29,931","18,720","20,000"
Other Contractual,"25,170","24,373","22,445","50,000"
State Auditor Examination,"37,000","35,000","39,000","40,000"
Bank Service Fees,"107,518","195,434","189,145","210,000"
Credit Card Processing Fees,"174,996","124,900","99,504","200,000"
,"$1,605,687","$1,617,016","$1,172,663","$1,649,000"
Materials & Supplies,,,,
Office Supplies,"$4,723",$361,"$1,765","$7,000"
Postage,"280,229","234,548","90,589","470,000"
Computer Supplies,—,—,—,"4,500"
Computer Hardware,"186,922","26,132","46,044","60,000"
Computer Software,"112,478","36,973","36,326","95,900"
Office Furniture & Equipment,—,967,"15,000","5,000"
Other Supplies,151,347,515,"2,000"
Batteries,—,—,—,500
Just In Time Office Supplies,"25,475","37,762","29,479","45,000"
,"$609,978","$337,090","$219,717","$689,900"
Maintenance,,,,
Maintenance Office Equipment,"$7,066","$50,880","$5,579","$31,900"
Maintenance Contracts,"2,340","2,336","2,336","5,500"
Computer Hardware Maintenance,"31,152","23,666","37,336","109,000"
Computer Software Maintenance,"98,661","164,601","102,833","113,300"
Car Washes,$240,$375,—,$300
,"$139,458","$241,857","$148,084","$260,000"
"Claims, Refunds, Maintenance",,,,
Court Costs,"$12,017","$15,791","$16,405","$25,000"
Indirect Cost,"496,296","526,099","590,293","574,230"
,"$508,313","$541,890","$606,698","$599,230"
Interdepart Service Charges,,,,
Charges From Telephone Exch,"$51,306","$58,049","$50,227","$44,535"
Charges From Print & Repro,"208,868","213,759","151,354","215,749"
Charges From M.V.M.,"8,413","7,084","7,322","10,067"
Charges From Division Of Maint,"425,000","425,000","425,000","425,000"
,"$693,587","$703,892","$633,902","$695,351"
Capital Outlay,,,,
Office Equipment,$ —,$ —,"$5,199","$10,000"
Automobiles,—,—,—,"35,000"
,$ —,$ —,"$5,199","$45,000"
,"$10,142,165","$10,656,837","$9,899,922","$12,594,043"
,,,,
Revenues,,,,
Miscellaneous,"$2,856,346","$3,232,746","$3,024,323","$3,800,653"
Due To Member Municipalities,"1,800","1,650","1,650","2,000"
Income Tax,"6,650,000","7,280,000","6,895,000","8,870,000"
Interest Earnings/Investment Income,"146,199","380,629","529,174",—
,"$9,654,345","$10,895,024","$10,450,147","$12,672,653"